QueryNumber;QueryText
00001;what are the effect OF calcium ON the physic properti OF mucu from CF patients?
00002;can one distinguish between the effect OF mucu hypersecret and infect ON the submucos gland OF the respiratori tract IN cf?
00003;how are salivari glycoprotein from CF patient differ from those OF normal subjects?
00004;what IS the lipid composit OF CF respiratori secretions?
00005;IS CF mucu abnormal?
00006;what IS the effect OF water OR other therapeut agent ON the physic properti (viscosity, elasticity) OF sputum OR bronchial secret from CF patients?
00007;are mucu glycoprotein degrad differ IN CF patient AS compar TO those from normal subjects?
00008;what histochem differ have been describ between normal and CF respiratori epithelia?
00009;what IS the associ between liver diseas (cirrhosis) and vitamin A metabol IN cf?
00010;what IS the role OF vitamin E IN the therapi OF patient with cf?
00011;what IS the differ between meconium ileu and meconium plug syndrome?
00012;what abnorm OF amino acid transport have been describ IN the small bowel OF CF patients?
00013;what are the clinic OR biochem featur OF pancreat IN CF patients?
00014;what non-invas test can BE perform for the evalu OF exocrin pancreat function IN patient with cf?
00015;what are the hepat complic OR manifest OF cf?
00016;what are the gastrointestin complic OF CF after the neonat period (exclud liver diseas and meconium ileus)?
00017;what IS the most effect regimen for the use OF pancreat enzym supplement IN the treatment OF CF patients?
00018;IS dietari supplement with bile salt OF therapeut benefit TO CF patients?
00019;what complic OF pancreat enzym therapi have been report IN CF patients?
00020;what IS the effect OF treatment OF CF patient with essenti fatti acid supplements?
00021;doe pancreat insuffici IN CF patient affect their abil TO absorb OR metabol iron?
00022;what IS the frequenc OF CF IN non-caucasian populations?
00023;what congenit OR hereditari diseas OR condit have been found IN associ with cf?
00024;what are the characterist OF patient IN whom CF IS incomplet manifested?
00025;what evid IS there that the genet basi for CF involv more than one gene?
00026;what IS the heterozygot advantag IN cf?
00027;what IS the concord OF clinic OR biochem manifest OF CF IN sibl pair (both OF whom have cf)?
00028;what IS the incid OF male fertil IN cf?
00029;what IS the patholog OF the reproduct system (male OR female) IN cf?
00030;what are the result OF genet counsel OF famili OF children with cf?
00031;what are the major psycholog OR social effect OF CF ON patient and their families?
00032;what factor influenc complianc with prescrib therapi IN CF patients?
00033;what condit OR factor lead TO erron sweat tests?
00034;what altern techniqu other than the classic gibson-cook quantit pilocarpin iontophoresi test (with titrimetr analysi OF chloride) are avail for sweat test what are their rel advantag and disadvantages?
00035;ha ani CF patient been found TO have consist normal sweat tests?
00036;what IS the concentr OF potassium IN sweat from CF patients?
00037;what techniqu are avail for screen OF newborn infant for cf, and what factor contribut TO erron result OF these tests?
00038;can CF BE diagnos prenatally?
00039;how may heterozygot for CF BE identified?
00040;other than the sweat test, what techniqu may BE use (beyond the neonat period) for the diagnosi OF cf?
00041;IS vitamin D metabol normal IN CF patients?
00042;what abnorm OF insulin secret OR insulin metabol occur IN CF patients?
00043;IS salt (sodium and/or chloride) transport/perm abnorm IN cf?
00044;what structur OR enzymat differ are there between fibroblast from CF patient and non-cf patients?
00045;what abnorm OF prostaglandin metabol have been describ IN CF patients?
00046;what are the properti and activ OF galactosyltransferas enzym from CF patients?
00047;what differ between normal subject and CF patient have been describ IN the function OR metabol OF hormones?
00048;DO fibroblast from CF patient grow AT A normal rate?
00049;IS rna methyl OR polyamin metabol normal IN CF patients?
00050;what defect IN the synthesi OR metabol OF cyclic nucleotid have been describ IN CF patients?
00051;"what circul OR secret ""factors"" have been describ IN CF patients? (""factors"" are unidentifi biolog activ molecul thought TO play some pathogenet role IN cystic fibrosis)."
00052;what IS known about prolactin IN CF patients?
00053;doe secretori iga protect CF patient against bacteri colon OR infection?
00054;what IS the relationship OF allergi OR hypersensit TO lung diseas IN CF patients?
00055;what are the interact between proteas (endogen OR bacteri origin) and antiproteas IN the lung OF CF patients?
00056;what IS the relationship between nutrit and pulmonari host defens against bacteri infect IN CF patients?
00057;what IS the pathophysiolog role OF circul antibodi TO pseudomona aeruginosa IN CF patients?
00058;what IS the immunolog respons TO pulmonari infect IN CF patients?
00059;what immunolog abnorm have been found IN CF patients?
00060;what are the effect OF CF ON the pulmonari circulation?
00061;IS there A defect IN mucociliari transport (clearance) IN the respiratori tract OF CF patients?
00062;what are the clinic featur OF lung diseas IN CF patients?
00063;what are the biochem OR microscop characterist OF airway inflamm IN CF patients?
00064;how doe lung function chang with time IN CF patients? (time period greater than A day)
00065;what are the abnorm OF pulmonari function IN CF patients?
00066;what are the patholog featur OF lung diseas IN CF patients?
00067;what IS the prognosi for patient who have had AN episod OF respiratori failure?
00068;what are the effect OF bronchodil IN CF patients?
00069;what IS the best way TO treat pneumothorax IN CF patients?
00070;what IS the treatment for and prognosi OF hemoptysi IN CF patients?
00071;what IS the prognosi for infant with wheez and cystic fibrosis?
00072;what IS the best treatment for nasal polyp IN CF patients?
00073;how effect IS bronchial lavag IN CF patients?
00074;what are the result OF mechan ventil IN CF patient with respiratori failure?
00075;what IS the best treatment for pulmonari hypertens and/or cor pulmonal IN CF patients?
00076;what are the effect OF exercis train program ON lung function IN CF patients?
00077;what techniqu are effect IN promot clearanc OF mucu from the lung OF CF patients?
00078;what special consider are there for treatment OF CF patient with antibiot (ie, are the pharmacodynam OF antibiot differ IN CF patients, OR are there other special problem peculiar TO cf)?
00079;what IS the role OF oral administ antibiot IN the treatment OF CF patients?
00080;what IS the evid that combin therapi with aminoglycosid and semisynthet penicillin IS more effect than therapi with either alone?
00081;how effect are inhal OF mucolyt agent IN the treatment OF CF patients?
00082;what IS the role OF aerosol IN the treatment OF lung diseas IN CF patients?
00083;what IS the role OF bacteri phagocytosi (bi alveolar macrophag OR polymorphonuclear leukocytes) IN lung diseas IN CF patients?
00084;what IS the relationship between haemophilu influenza and pseudomona aeruginosa IN CF patients?
00085;DO CF patient ever develop infect IN organ other than the lung? IF so, IN what organs?
00086;what IS the role OF bacteria other than pseudomona aeruginosa, staphylococcu aureus, OR haemophilu influenza IN the pathogenesi OF lung diseas IN CF patients?
00087;what IS the role OF fungi IN the pathogenesi OF lung diseas IN CF patients?
00088;what IS the role OF viral infect IN the lung diseas OF CF patients?
00089;what IS the epidemiolog OF pseudomona aeruginosa IN CF patients? specifically, DO CF patient spread pseudomona aeruginosa TO other patient OR TO other individu (family)?
00090;what factor are respons for the appear OF mucoid strain OF pseudomona aeruginosa IN CF patients?
00091;what are the unusu manifest OF CF (other than lung diseas OR exocrin pancreat insufficiency)?
00092;what IS the prognosi for surviv OF patient with cf?
00094;what anim model are avail which are relev TO cf?
00095;what abnorm OF skelet muscl function OR structur have been found IN CF patients?
00096;IS there AN increas incid OF dental problem (eg, cari OR periodont disease) IN CF patients?
00097;IS oxygen transport BY red blood cell abnorm IN CF patients?
00098;what are the effect OF CF ON the develop and/or function OF the brain and central nervou system?
00099;are there abnorm OF tast IN CF patients?
00100;what IS the incid OF and treatment for hypertroph osteoarthropathi IN CF patients?
